# slug	width	height	active_pixels	luma_stddev_milli	ahash
character	1600	1200	1915711	19063	0000000003030303
spellbook-professions	1600	1200	1915864	22370	0000000707070707
talents-glyphs	1600	1200	1918043	33994	000000000f0f0f07
quest-log	1600	1200	1918399	17845	000000070f0f0f0f
world-map	1600	1200	1919994	29420	0000000000070f07
mail	1600	1200	1918090	26021	0000000003030303
auction-house	1600	1200	1915321	17942	000000000f0f1f0f
addon-list	1600	1200	1918954	16016	00003c3c3c3c1800
bank-storage	1600	1200	1917678	22342	0000000303030303
trade	1600	1200	1918330	16517	0000000003070703
social	1600	1200	1917886	11758	0000000003030703
inspect-guild-control	1600	1200	1915673	18645	000000000e0e0e0c
pvp	1600	1200	1919658	17504	0000000007070706
lfg-lfr	1600	1200	1917148	15906	000000000f0f0f0f
raid-unit-frames	1600	1200	1867732	13769	00fe6cfcff0cfc07
arena-unit-frames	1600	1200	1919955	3948	ffffffffffffffff
collections	1600	1200	1912235	21221	0000000f0f0f0f0f
pet-journal	1600	1200	1912235	21221	0000000f0f0f0f0f
achievements-calendar	1600	1200	1915093	32462	000000001f1f1f0e
archaeology	1600	1200	1918851	22264	0000000707070707
encounter-journal	1600	1200	1916043	25908	000000000f0f0f0f
challenges	1600	1200	1919317	13062	000000000e0e0f0e
currency-token	1600	1200	1919862	13170	0000000003030303
item-services	1600	1200	1918696	17671	0000000007070707
npc-services	1600	1200	1918640	15453	0000000f1f1f1f1f
quest-choice	1600	1200	1919991	33288	0000183c3c180000
macro-keybindings	1600	1200	1919201	52255	003c3c3c3c3c1c00
interface-options	1600	1200	1919153	52264	003c3c3c3c3c1c00
action-bars	1600	1200	1918129	15654	ff00000000000000
time-move-utilities	1600	1200	1919558	8957	00ff2efeffc0ffc0
nameplates	1600	1200	1919988	4300	ffffffffffffffff
loot	1600	1200	1918983	7689	03ffeffeff00ff00
game-menu-options	1600	1200	1919201	52255	003c3c3c3c3c1c00
